category,name,description,price,Available
Mains,Hummus classic,,10,yes
Mains,Hummus Complete,,11.5,yes
Mains,Hummus Fava,,10,yes
Mains,Hummus Chickpeas,,10,yes
Mains,Hummus Tahini,,,yes
Mains,Masabacha,,,yes
Mains,New Dish comming soon,,,no
Mains,Machlota,,,yes
Extras,pita,,1,yes
Extras,house salad,,4,yes
Extras,lamb ragout,,6,yes
Extras,Shawarma,,6,yes
Extras,Falafel,,5,yes
Extras,Cauliflower,,5,yes
Extras,Warm Pita Basket,,2.5,yes
Extras,Israeli Salad,,5,yes
Extras,Pickles & Olives,,4.5,yes
Extras,Shakshuka,,5,yes
Salads,House Salad,,8,yes
Salads,Spicy lentils,,7,yes
Salads,Labaneh and cherry tomato confi with crispi pitta,,8,yes
Big Plates,Falafel Plate,served with salads and hummus.,15,yes
Big Plates,Shawarma Plate,served with salads and hummus.,18,yes
Big Plates,Sabich Plate,served with salads and hummus.,17,yes
Big Plates,Eggplant ragout Plate,served with salads and hummus.,16,yes
Big Plates,Shakshuka,served with salads and hummus. maraguese+6,15,yes
Big Plates,"Arack, cherry tomatoes, and shrimps, served with Labaneh",served with salads and hummus.,21,yes
Big Plates,Cauliflower Plate,served with salads and hummus.,12,yes
Dessert,Malabi,Creamy delight,5.5,yes
Dessert,Sticky Toffee,Forbidden indulgance,7,yes
Dessert,Chocolate creme,Pure heaven - Vegan,5,yes
Deli,Hummus,300 g Hummus ,8,yes
Deli,Tahini,300 Tahini ,8,yes
Deli,Tbileh,Spicy soure sauce 100 g ,5,yes
Deli,Uzi,Spicy soure sauce 100 g ,5,yes
Deli,Shawarma spice,30 g,5,yes
Deli,Shakshuka spice,30 g,5,yes
Deli,Siniya spice,30 g,5,yes
Deli,Masachan spice,30 g,5,yes
